======================================================================
TIPO            | LEXEMA               | LINEA    | COLUMNA 
OPERATOR        | +                    | L:47  | C:34 
STRINGLIT       | "(?<SEPARATOR>[(){}\\[\\];,])|" | L:48  | C:9  
OPERATOR        | +                    | L:48  | C:41 
STRINGLIT       | "(?<WHITESPACE>[ \\t\\r\\n]+)" | L:49  | C:9  
SEPARATOR       | ,                    | L:49  | C:39 
IDENTIFIER      | Pattern              | L:50  | C:9  
OPERATOR        | .                    | L:50  | C:16 
IDENTIFIER      | MULTILINE            | L:50  | C:17 
SEPARATOR       | )                    | L:51  | C:5  
SEPARATOR       | ;                    | L:51  | C:6  
KEYWORD         | public               | L:53  | C:5  
KEYWORD         | static               | L:53  | C:12 
IDENTIFIER      | List                 | L:53  | C:19 
OPERATOR        | <                    | L:53  | C:23 
IDENTIFIER      | Token                | L:53  | C:24 
OPERATOR        | >                    | L:53  | C:29 
IDENTIFIER      | tokenize             | L:53  | C:31 
SEPARATOR       | (                    | L:53  | C:39 
IDENTIFIER      | String               | L:53  | C:40 
IDENTIFIER      | source               | L:53  | C:47 
SEPARATOR       | )                    | L:53  | C:53 
SEPARATOR       | {                    | L:53  | C:55 
IDENTIFIER      | List                 | L:54  | C:9  
OPERATOR        | <                    | L:54  | C:13 
IDENTIFIER      | Token                | L:54  | C:14 
OPERATOR        | >                    | L:54  | C:19 
IDENTIFIER      | tokens               | L:54  | C:21 
OPERATOR        | =                    | L:54  | C:28 
KEYWORD         | new                  | L:54  | C:30 
IDENTIFIER      | ArrayList            | L:54  | C:34 
OPERATOR        | <                    | L:54  | C:43 
OPERATOR        | >                    | L:54  | C:44 
SEPARATOR       | (                    | L:54  | C:45 
SEPARATOR       | )                    | L:54  | C:46 
SEPARATOR       | ;                    | L:54  | C:47 
IDENTIFIER      | Matcher              | L:55  | C:9  
IDENTIFIER      | m                    | L:55  | C:17 
OPERATOR        | =                    | L:55  | C:19 
IDENTIFIER      | MASTER               | L:55  | C:21 
OPERATOR        | .                    | L:55  | C:27 
IDENTIFIER      | matcher              | L:55  | C:28 
SEPARATOR       | (                    | L:55  | C:35 
IDENTIFIER      | source               | L:55  | C:36 
SEPARATOR       | )                    | L:55  | C:42 
SEPARATOR       | ;                    | L:55  | C:43 
KEYWORD         | int                  | L:56  | C:9  
IDENTIFIER      | currentLine          | L:56  | C:13 
OPERATOR        | =                    | L:56  | C:25 
INTEGERLIT      | 1                    | L:56  | C:27 
SEPARATOR       | ;                    | L:56  | C:28 
KEYWORD         | int                  | L:57  | C:9  
IDENTIFIER      | lastNewLinePos       | L:57  | C:13 
OPERATOR        | =                    | L:57  | C:28 
OPERATOR        | -                    | L:57  | C:30 
INTEGERLIT      | 1                    | L:57  | C:31 
SEPARATOR       | ;                    | L:57  | C:32 
KEYWORD         | int                  | L:58  | C:9  
IDENTIFIER      | pos                  | L:58  | C:13 
OPERATOR        | =                    | L:58  | C:17 
INTEGERLIT      | 0                    | L:58  | C:19 
SEPARATOR       | ;                    | L:58  | C:20 
KEYWORD         | while                | L:60  | C:9  
SEPARATOR       | (                    | L:60  | C:15 
IDENTIFIER      | m                    | L:60  | C:16 
OPERATOR        | .                    | L:60  | C:17 
IDENTIFIER      | find                 | L:60  | C:18 
SEPARATOR       | (                    | L:60  | C:22 
SEPARATOR       | )                    | L:60  | C:23 
SEPARATOR       | )                    | L:60  | C:24 
SEPARATOR       | {                    | L:60  | C:26 
LINECOMMENT     | // DETECCIÓN DE ERRORES: Si hay un hueco entre el último match y el actual | L:61  | C:13 
KEYWORD         | if                   | L:62  | C:13 
SEPARATOR       | (                    | L:62  | C:16 
IDENTIFIER      | m                    | L:62  | C:17 
OPERATOR        | .                    | L:62  | C:18 
IDENTIFIER      | start                | L:62  | C:19 
SEPARATOR       | (                    | L:62  | C:24 
SEPARATOR       | )                    | L:62  | C:25 
OPERATOR        | >                    | L:62  | C:27 
IDENTIFIER      | pos                  | L:62  | C:29 
SEPARATOR       | )                    | L:62  | C:32 
SEPARATOR       | {                    | L:62  | C:34 
IDENTIFIER      | String               | L:63  | C:17 
IDENTIFIER      | errorLexeme          | L:63  | C:24 
OPERATOR        | =                    | L:63  | C:36 
IDENTIFIER      | source               | L:63  | C:38 
OPERATOR        | .                    | L:63  | C:44 
IDENTIFIER      | substring            | L:63  | C:45 
SEPARATOR       | (                    | L:63  | C:54 
IDENTIFIER      | pos                  | L:63  | C:55 
SEPARATOR       | ,                    | L:63  | C:58 
IDENTIFIER      | m                    | L:63  | C:60 
OPERATOR        | .                    | L:63  | C:61 
IDENTIFIER      | start                | L:63  | C:62 
SEPARATOR       | (                    | L:63  | C:67 
SEPARATOR       | )                    | L:63  | C:68 
SEPARATOR       | )                    | L:63  | C:69 
SEPARATOR       | ;                    | L:63  | C:70 
LINECOMMENT     | // Procesamos el lexema desconocido caracter por caracter para no perder la cuenta de columnas | L:64  | C:17 
KEYWORD         | for                  | L:65  | C:17 
SEPARATOR       | (                    | L:65  | C:21 
KEYWORD         | int                  | L:65  | C:22 
IDENTIFIER      | i                    | L:65  | C:26 
OPERATOR        | =                    | L:65  | C:28 
INTEGERLIT      | 0                    | L:65  | C:30 
SEPARATOR       | ;                    | L:65  | C:31 
IDENTIFIER      | i                    | L:65  | C:33 
OPERATOR        | <                    | L:65  | C:35 
IDENTIFIER      | errorLexeme          | L:65  | C:37 
OPERATOR        | .                    | L:65  | C:48 
IDENTIFIER      | length               | L:65  | C:49 
SEPARATOR       | (                    | L:65  | C:55 
SEPARATOR       | )                    | L:65  | C:56 
SEPARATOR       | ;                    | L:65  | C:57 
IDENTIFIER      | i                    | L:65  | C:59 
OPERATOR        | ++                   | L:65  | C:60 
SEPARATOR       | )                    | L:65  | C:62 
SEPARATOR       | {                    | L:65  | C:64 
KEYWORD         | char                 | L:66  | C:21 
IDENTIFIER      | c                    | L:66  | C:26 
OPERATOR        | =                    | L:66  | C:28 
IDENTIFIER      | errorLexeme          | L:66  | C:30 
OPERATOR        | .                    | L:66  | C:41 
IDENTIFIER      | charAt               | L:66  | C:42 
SEPARATOR       | (                    | L:66  | C:48 
IDENTIFIER      | i                    | L:66  | C:49 
SEPARATOR       | )                    | L:66  | C:50 
SEPARATOR       | ;                    | L:66  | C:51 
KEYWORD         | if                   | L:67  | C:21 
SEPARATOR       | (                    | L:67  | C:24 
OPERATOR        | !                    | L:67  | C:25 
IDENTIFIER      | Character            | L:67  | C:26 
OPERATOR        | .                    | L:67  | C:35 
IDENTIFIER      | isWhitespace         | L:67  | C:36 
SEPARATOR       | (                    | L:67  | C:48 
IDENTIFIER      | c                    | L:67  | C:49 
SEPARATOR       | )                    | L:67  | C:50 
SEPARATOR       | )                    | L:67  | C:51 
SEPARATOR       | {                    | L:67  | C:53 
KEYWORD         | int                  | L:68  | C:25 
IDENTIFIER      | col                  | L:68  | C:29 
OPERATOR        | =                    | L:68  | C:33 
SEPARATOR       | (                    | L:68  | C:35 
IDENTIFIER      | pos                  | L:68  | C:36 
OPERATOR        | +                    | L:68  | C:40 
IDENTIFIER      | i                    | L:68  | C:42 
SEPARATOR       | )                    | L:68  | C:43 
OPERATOR        | -                    | L:68  | C:45 
IDENTIFIER      | lastNewLinePos       | L:68  | C:47 
SEPARATOR       | ;                    | L:68  | C:61 
IDENTIFIER      | tokens               | L:69  | C:25 
OPERATOR        | .                    | L:69  | C:31 
IDENTIFIER      | add                  | L:69  | C:32 
SEPARATOR       | (                    | L:69  | C:35 
KEYWORD         | new                  | L:69  | C:36 
IDENTIFIER      | Token                | L:69  | C:40 
SEPARATOR       | (                    | L:69  | C:45 
IDENTIFIER      | TokenType            | L:69  | C:46 
OPERATOR        | .                    | L:69  | C:55 
IDENTIFIER      | UNKNOWN              | L:69  | C:56 
SEPARATOR       | ,                    | L:69  | C:63 
IDENTIFIER      | String               | L:69  | C:65 
OPERATOR        | .                    | L:69  | C:71 
IDENTIFIER      | valueOf              | L:69  | C:72 
SEPARATOR       | (                    | L:69  | C:79 
IDENTIFIER      | c                    | L:69  | C:80 
SEPARATOR       | )                    | L:69  | C:81 
SEPARATOR       | ,                    | L:69  | C:82 
IDENTIFIER      | currentLine          | L:69  | C:84 
SEPARATOR       | ,                    | L:69  | C:95 
IDENTIFIER      | col                  | L:69  | C:97 
SEPARATOR       | )                    | L:69  | C:100
SEPARATOR       | )                    | L:69  | C:101
SEPARATOR       | ;                    | L:69  | C:102
SEPARATOR       | }                    | L:70  | C:21 
KEYWORD         | if                   | L:71  | C:21 
SEPARATOR       | (                    | L:71  | C:24 
IDENTIFIER      | c                    | L:71  | C:25 
OPERATOR        | ==                   | L:71  | C:27 
CHARLIT         | '\n'                 | L:71  | C:30 
SEPARATOR       | )                    | L:71  | C:34 
SEPARATOR       | {                    | L:71  | C:36 
IDENTIFIER      | currentLine          | L:72  | C:25 
OPERATOR        | ++                   | L:72  | C:36 
SEPARATOR       | ;                    | L:72  | C:38 
IDENTIFIER      | lastNewLinePos       | L:73  | C:25 
OPERATOR        | =                    | L:73  | C:40 
IDENTIFIER      | pos                  | L:73  | C:42 
OPERATOR        | +                    | L:73  | C:46 
IDENTIFIER      | i                    | L:73  | C:48 
SEPARATOR       | ;                    | L:73  | C:49 
SEPARATOR       | }                    | L:74  | C:21 
SEPARATOR       | }                    | L:75  | C:17 
SEPARATOR       | }                    | L:76  | C:13 
KEYWORD         | int                  | L:78  | C:13 
IDENTIFIER      | col                  | L:78  | C:17 
OPERATOR        | =                    | L:78  | C:21 
IDENTIFIER      | m                    | L:78  | C:23 
OPERATOR        | .                    | L:78  | C:24 
IDENTIFIER      | start                | L:78  | C:25 
SEPARATOR       | (                    | L:78  | C:30 
SEPARATOR       | )                    | L:78  | C:31 
OPERATOR        | -                    | L:78  | C:33 
IDENTIFIER      | lastNewLinePos       | L:78  | C:35 
SEPARATOR       | ;                    | L:78  | C:49 
IDENTIFIER      | String               | L:79  | C:13 
IDENTIFIER      | match                | L:79  | C:20 
OPERATOR        | =                    | L:79  | C:26 
IDENTIFIER      | m                    | L:79  | C:28 
OPERATOR        | .                    | L:79  | C:29 
IDENTIFIER      | group                | L:79  | C:30 
SEPARATOR       | (                    | L:79  | C:35 
SEPARATOR       | )                    | L:79  | C:36 
SEPARATOR       | ;                    | L:79  | C:37 
KEYWORD         | if                   | L:81  | C:13 
SEPARATOR       | (                    | L:81  | C:16 
IDENTIFIER      | m                    | L:81  | C:17 
OPERATOR        | .                    | L:81  | C:18 
IDENTIFIER      | group                | L:81  | C:19 
SEPARATOR       | (                    | L:81  | C:24 
STRINGLIT       | "WHITESPACE"         | L:81  | C:25 
SEPARATOR       | )                    | L:81  | C:37 
OPERATOR        | !=                   | L:81  | C:39 
KEYWORD         | null                 | L:81  | C:42 
SEPARATOR       | )                    | L:81  | C:46 
SEPARATOR       | {                    | L:81  | C:48 
IDENTIFIER      | actualizarPosicion   | L:82  | C:17 
SEPARATOR       | (                    | L:82  | C:35 
